,branch name,acc no,branch code,bank code
257,UOB Wealth Banking JEM,650,643,7375
258,UOB Private Bank,651,651,7375
259,UOB Tampines One,655,653,7375
260,UOB Lot One,657,656,7375
261,UOB Jurong Point,658,013,7375
262,UOB PBC Orchard,662,662,7375
263,UOB PBC Orchard,663,662,7375
264,UOB PBC Bukit Timah,666,665,7375
265,UOB Marina Bay Financial Ctr,668,497,7375
266,UOB Private Bank,688,651,7375
267,UOB Main,701,001,7375
268,UOB Farrer Park,702,332,7375
269,UOB JEM,703,336,7375
270,UOB Tai Seng,704,004,7375
271,UOB Jalan Sultan,705,432,7375
272,UOB Northpoint,706,446,7375
273,UOB Thomson,707,007,7375
274,UOB Serangoon Central,708,447,7375
275,UOB Hougang MRT,709,448,7375
276,UOB Waterway Point,710,493,7375
277,UOB Raffles City,711,494,7375
278,UOB Bukit Panjang,712,012,7375
279,UOB Jurong Point,713,013,7375
280,UOB City Plaza,714,014,7375
281,UOB Toa Payoh,715,015,7375
282,UOB Novena Square,716,016,7375
283,UOB Vivo City,717,495,7375
284,UOB Scotts,718,018,7375
285,UOB New Bridge,719,019,7375
286,UOB Holland,720,020,7375
287,UOB Marina Bay Financial Ctr,721,630,7375
288,UOB Wealth Banking Scotts Square,722,632,7375
291,UOB Wealth Banking Tampines,723,635,7375
292,UOB Serangoon Garden,724,024,7375
293,UOB MBFC Privilege,725,637,7375
294,UOB Upper Bukit Timah,726,026,7375
295,UOB Bedok,727,027,7375
296,UOB Ang Mo Kio,728,028,7375
297,UOB Wealth Banking Katong,729,639,7375
298,UOB Clementi,730,030,7375
299,UOB PBC Serangoon Garden,731,641,7375
300,UOB Wealth Banking JEM,732,643,7375
301,UOB Private Bank,733,651,7375
302,UOB PBC Orchard,734,662,7375
303,UOB Boon Lay,735,035,7375
304,UOB Parkway Parade,736,036,7375
305,UOB Suntec City,737,037,7375
306,UOB Tampines,738,038,7375
307,UOB Changi Airport,740,040,7375
308,UOB Bukit Batok Central,741,041,7375
309,UOB Pasir Ris,744,044,7375
310,UOB Woodlands,745,045,7375
311,UOB Coleman,746,046,7375
312,UOB Rochor,747,047,7375
313,UOB Tiong Bahru Plaza,750,050,7375
314,UOB Tampines One,753,653,7375
315,UOB Anson Road,757,057,7375
316,UOB Upper Bukit Timah,759,059,7375
317,UOB Hougang,763,063,7375
318,UOB PBC Bukit Timah,765,665,7375
319,UOB Bishan,766,066,7375
320,UOB Bendemeer,767,067,7375
321,UOB Orchard,768,068,7375
322,UOB Main,769,001,7375
323,UOB Main,901,001,7375
324,UOB New Bridge,902,343,7375
325,UOB New Bridge,903,343,7375
326,UOB Farrer Park,904,332,7375
327,UOB Orchard,905,320,7375
328,UOB Tai Seng,906,004,7375
329,UOB Tiong Bahru Plaza,907,307,7375
330,UOB Admiralty,908,308,7375
331,UOB Tiong Bahru Plaza,909,307,7375
332,UOB Clementi,910,030,7375
333,UOB Coleman,911,311,7375
334,UOB City Plaza,912,032,7375
335,UOB Parkway Parade,913,062,7375
336,UOB Hougang,914,063,7375
337,UOB Toa Payoh,915,015,7375
338,UOB City Plaza,916,014,7375
339,UOB Jurong Point,917,013,7375
340,UOB New Bridge,918,343,7375
341,UOB Bendemeer,919,067,7375
342,UOB Orchard,920,320,7375
343,UOB Suntec City,921,037,7375
344,UOB Main,922,001,7375
345,UOB Thomson,923,007,7375
346,UOB Coleman,924,311,7375
347,UOB Tiong Bahru Plaza,925,050,7375
348,UOB Upper Bukit Timah,926,059,7375
349,UOB Ang Mo Kio,927,327,7375
350,UOB Bedok,928,328,7375
351,UOB Clementi,929,030,7375
352,UOB Tampines,930,038,7375
353,UOB City Plaza,931,032,7375
354,UOB Farrer Park,932,332,7375
355,UOB Hougang,933,063,7375
356,UOB New Bridge,934,343,7375
357,UOB Tampines,935,038,7375
358,UOB JEM,936,336,7375
359,UOB Main,937,001,7375
360,UOB Tampines,938,038,7375
361,UOB Main,942,001,7375
362,UOB Boon Lay,945,035,7375
363,UOB Northpoint,946,346,7375
364,UOB Main,951,001,7375
365,UOB New Bridge,952,343,7375
366,UOB New Bridge,953,343,7375
367,UOB Farrer Park,954,332,7375
368,UOB Orchard,955,320,7375
369,UOB Tai Seng,956,004,7375
370,UOB Tiong Bahru Plaza,957,307,7375
371,UOB Admiralty,958,308,7375
372,UOB Tiong Bahru Plaza,959,307,7375
373,UOB Clementi,960,030,7375
374,UOB Coleman,961,311,7375
375,UOB City Plaza,962,032,7375
376,UOB Parkway Parade,963,062,7375
377,UOB Hougang,964,063,7375
378,UOB Toa Payoh,965,015,7375
379,UOB City Plaza,966,014,7375
380,UOB Jurong Point,967,013,7375
381,UOB New Bridge,968,343,7375
382,UOB Bendemeer,969,067,7375
383,UOB Orchard,970,320,7375
384,UOB Suntec City,971,037,7375
385,UOB Main,972,001,7375
386,UOB Thomson,973,007,7375
387,UOB Coleman,974,311,7375
388,UOB Tiong Bahru Plaza,975,050,7375
389,UOB Upper Bukit Timah,976,059,7375
390,UOB Ang Mo Kio,977,327,7375
391,UOB Bedok,978,328,7375
392,UOB Clementi,979,030,7375
393,UOB Tampines,980,038,7375
394,UOB City Plaza,981,032,7375
395,UOB Farrer Park,982,332,7375
396,UOB Hougang,983,063,7375
397,UOB New Bridge,984,343,7375
398,UOB Tampines,985,038,7375
399,UOB JEM,986,336,7375
400,UOB Main,987,001,7375
401,UOB Tampines,988,038,7375
402,UOB Main,989,001,7375
403,UOB Main,990,001,7375
404,UOB Main,992,001,7375
405,UOB Main,993,001,7375
406,UOB Boon Lay,995,035,7375
407,UOB Northpoint,996,346,7375
